MFonMB_X,MFonMB_X_dummy,Choice,Subj
0.25904,0,1,1
-4.741,-1,1,3
0.25904,0,1,3
1.259,1,1,3
3.259,1,1,4
0.25904,0,0,5
6.259,1,1,5
-4.741,-1,1,8
0.25904,0,0,8
2.259,1,0,9
0.25904,0,1,10
2.259,1,1,10
0.25904,0,1,12
0.25904,0,1,13
-3.741,-1,1,13
1.259,1,1,13
-1.741,-1,1,14
-1.741,-1,1,15
-0.74096,-1,0,16
-2.741,-1,0,16
0.25904,0,0,17
3.259,1,1,17
-1.741,-1,0,17
1.259,1,1,17
6.259,1,1,18
4.259,1,1,20
-2.741,-1,0,21
0.25904,0,0,23
0.25904,0,0,24
0.25904,0,0,24
-5.741,-1,0,24
-2.741,-1,1,24
0.25904,0,0,25
-4.741,-1,1,26
-4.741,-1,1,26
-1.741,-1,0,27
-1.741,-1,1,28
0.25904,0,0,29
5.259,1,0,29
3.259,1,1,29
1.259,1,1,30
-3.741,-1,0,30
-2.741,-1,0,30
0.25904,0,1,31
0.25904,0,1,33
2.259,1,1,33
3.259,1,1,33
2.259,1,0,34
-3.741,-1,1,34
0.25904,0,1,35
2.259,1,1,36
4.259,1,1,36
0.25904,0,1,36
-0.74096,-1,1,38
-4.741,-1,0,39
-2.741,-1,0,41
0.25904,0,1,42
-2.741,-1,0,42
2.259,1,0,42
2.259,1,0,42
0.25904,0,0,43
1.259,1,1,43
4.259,1,0,44
-3.741,-1,0,45
0.25904,0,0,45
-0.74096,-1,1,46
2.259,1,1,46
-1.741,-1,1,47
5.259,1,1,47
0.25904,0,0,48
1.259,1,0,48
3.259,1,1,48
3.259,1,0,50
-4.741,-1,1,50
0.25904,0,0,51
-2.741,-1,0,51
3.259,1,1,51
-1.741,-1,0,51
2.259,1,1,52
0.25904,0,0,54
-0.74096,-1,1,55
-5.741,-1,0,55
-2.741,-1,1,55
-2.741,-1,0,56
3.259,1,0,57
3.259,1,1,57
-2.741,-1,0,57
-5.741,-1,0,57
-2.741,-1,1,57
0.25904,0,1,58
0.25904,0,0,58
4.259,1,0,58
3.259,1,1,59
-1.741,-1,1,60
-0.74096,-1,1,60
0.25904,0,1,60
-4.741,-1,0,60
1.259,1,1,60
2.259,1,1,61
3.259,1,1,61
-0.74096,-1,1,61
0.25904,0,1,61
0.25904,0,0,62
4.259,1,0,62
5.259,1,0,62
-5.741,-1,0,62
-1.741,-1,1,62
-0.74096,-1,1,62
0.25904,0,0,63
4.259,1,0,64
0.25904,0,1,64
-3.741,-1,0,64
-4.741,-1,1,65
-0.74096,-1,1,65
-0.74096,-1,1,68
2.259,1,1,69
3.259,1,0,70
-0.74096,-1,0,71
2.259,1,1,72
-6.741,-1,0,72
-0.74096,-1,0,73
-3.741,-1,0,73
0.25904,0,0,74
-2.741,-1,1,74
7.259,1,1,75
-4.741,-1,0,75
5.259,1,1,75
4.259,1,0,76
-4.741,-1,0,77
0.25904,0,1,77
-3.741,-1,0,78
4.259,1,0,78
1.259,1,1,79
0.25904,0,1,80
0.25904,0,1,81
0.25904,0,1,82
0.25904,0,0,82
4.259,1,1,82
1.259,1,0,83
-3.741,-1,1,85
-4.741,-1,1,86
-0.74096,-1,0,87
-2.741,-1,1,87
0.25904,0,1,88
1.259,1,0,89
4.259,1,0,89
3.259,1,0,89
-0.74096,-1,1,89
3.259,1,1,89
-1.741,-1,0,89
-0.74096,-1,0,91
-1.741,-1,1,92
4.259,1,1,92
-2.741,-1,1,92
-2.741,-1,1,92
2.259,1,1,95
3.259,1,0,95
3.259,1,1,97
0.25904,0,0,98
-2.741,-1,1,98
-0.74096,-1,0,98
3.259,1,1,98
-1.741,-1,1,98
-3.741,-1,1,98
0.25904,0,1,99
-3.741,-1,1,99
